"GeneID"	"Symbol"	"description"
"1983"	"EIF5"	"eukaryotic translation initiation factor 5"
"1984"	"EIF5A"	"eukaryotic translation initiation factor 5A"
"143244"	"EIF5AL1"	"eukaryotic translation initiation factor 5A-like 1"
"9669"	"EIF5B"	"eukaryotic translation initiation factor 5B"
"3692"	"EIF6"	"eukaryotic translation initiation factor 6"
"60528"	"ELAC2"	"elaC ribonuclease Z 2"
"1994"	"ELAVL1"	"ELAV like RNA binding protein 1"
"1998"	"ELF2"	"E74 like ETS transcription factor 2"
"2002"	"ELK1"	"ELK1, ETS transcription factor"
"2005"	"ELK4"	"ELK4, ETS transcription factor"
"22936"	"ELL2"	"elongation factor for RNA polymerase II 2"
"84173"	"ELMOD3"	"ELMO domain containing 3"
"64834"	"ELOVL1"	"ELOVL fatty acid elongase 1"
"55250"	"ELP2"	"elongator acetyltransferase complex subunit 2"
"55140"	"ELP3"	"elongator acetyltransferase complex subunit 3"
"26610"	"ELP4"	"elongator acetyltransferase complex subunit 4"
"54859"	"ELP6"	"elongator acetyltransferase complex subunit 6"
"23065"	"EMC1"	"ER membrane protein complex subunit 1"
"284361"	"EMC10"	"ER membrane protein complex subunit 10"
"9694"	"EMC2"	"ER membrane protein complex subunit 2"
"55831"	"EMC3"	"ER membrane protein complex subunit 3"
"51234"	"EMC4"	"ER membrane protein complex subunit 4"
"83460"	"EMC6"	"ER membrane protein complex subunit 6"
"56851"	"EMC7"	"ER membrane protein complex subunit 7"
"10328"	"EMC8"	"ER membrane protein complex subunit 8"
"51016"	"EMC9"	"ER membrane protein complex subunit 9"
"2010"	"EMD"	"emerin"
"10436"	"EMG1"	"EMG1, N1-specific pseudouridine methyltransferase"
"2021"	"ENDOG"	"endonuclease G"
"58478"	"ENOPH1"	"enolase-phosphatase 1"
"2029"	"ENSA"	"endosulfine alpha"
"9583"	"ENTPD4"	"ectonucleoside triphosphate diphosphohydrolase 4"
"955"	"ENTPD6"	"ectonucleoside triphosphate diphosphohydrolase 6 (putative)"
"56943"	"ENY2"	"ENY2, transcription and export complex 2 subunit"
"80314"	"EPC1"	"enhancer of polycomb homolog 1"
"9852"	"EPM2AIP1"	"EPM2A interacting protein 1"
"29924"	"EPN1"	"epsin 1"
"2058"	"EPRS"	"glutamyl-prolyl-tRNA synthetase"
"26284"	"ERAL1"	"Era like 12S mitochondrial rRNA chaperone 1"
"51752"	"ERAP1"	"endoplasmic reticulum aminopeptidase 1"
"2067"	"ERCC1"	"ERCC excision repair 1, endonuclease non-catalytic subunit"
"2068"	"ERCC2"	"ERCC excision repair 2, TFIIH core complex helicase subunit"
"2071"	"ERCC3"	"ERCC excision repair 3, TFIIH core complex helicase subunit"
"2073"	"ERCC5"	"ERCC excision repair 5, endonuclease"
"51290"	"ERGIC2"	"ERGIC and golgi 2"
"51614"	"ERGIC3"	"ERGIC and golgi 3"
"2079"	"ERH"	"enhancer of rudimentary homolog (Drosophila)"
"79033"	"ERI3"	"ERI1 exoribonuclease family member 3"
"157697"	"ERICH1"	"glutamate rich 1"
"27248"	"ERLEC1"	"endoplasmic reticulum lectin 1"
"30001"	"ERO1A"	"endoplasmic reticulum oxidoreductase 1 alpha"
"23071"	"ERP44"	"endoplasmic reticulum protein 44"
"2098"	"ESD"	"esterase D"
"51575"	"ESF1"	"ESF1 nucleolar pre-rRNA processing protein homolog"
"2107"	"ETF1"	"eukaryotic translation termination factor 1"
"2108"	"ETFA"	"electron transfer flavoprotein alpha subunit"
"2109"	"ETFB"	"electron transfer flavoprotein beta subunit"
"2120"	"ETV6"	"ETS variant 6"
"2130"	"EWSR1"	"EWS RNA binding protein 1"
"55218"	"EXD2"	"exonuclease 3'-5' domain containing 2"
"55763"	"EXOC1"	"exocyst complex component 1"
"55770"	"EXOC2"	"exocyst complex component 2"
"11336"	"EXOC3"	"exocyst complex component 3"
"60412"	"EXOC4"	"exocyst complex component 4"
"23265"	"EXOC7"	"exocyst complex component 7"
"149371"	"EXOC8"	"exocyst complex component 8"
"51013"	"EXOSC1"	"exosome component 1"
"5394"	"EXOSC10"	"exosome component 10"
"23404"	"EXOSC2"	"exosome component 2"
"54512"	"EXOSC4"	"exosome component 4"
"23016"	"EXOSC7"	"exosome component 7"
"11340"	"EXOSC8"	"exosome component 8"
"2132"	"EXT2"	"exostosin glycosyltransferase 2"
"2137"	"EXTL3"	"exostosin like glycosyltransferase 3"
"8772"	"FADD"	"Fas associated via death domain"
"11124"	"FAF1"	"Fas associated factor 1"
"23197"	"FAF2"	"Fas associated factor family member 2"
"81889"	"FAHD1"	"fumarylacetoacetate hydrolase domain containing 1"
"90736"	"FAM104B"	"family with sequence similarity 104 member B"
"81926"	"ABHD17A"	"abhydrolase domain containing 17A"
"51104"	"ABHD17B"	"abhydrolase domain containing 17B"
"10827"	"FAM114A2"	"family with sequence similarity 114 member A2"
"79607"	"FAM118B"	"family with sequence similarity 118 member B"
"23196"	"FAM120A"	"family with sequence similarity 120A"
"158293"	"FAM120AOS"	"family with sequence similarity 120A opposite strand"
"84498"	"FAM120B"	"family with sequence similarity 120B"
"116224"	"FAM122A"	"family with sequence similarity 122A"
"26071"	"RTL8A"	"retrotransposon Gag like 8A"
"79137"	"RETREG2"	"reticulophagy regulator family member 2"
"162427"	"RETREG3"	"reticulophagy regulator family member 3"
"84908"	"FAM136A"	"family with sequence similarity 136 member A"
"317662"	"FAM149B1"	"family with sequence similarity 149 member B1"
"84067"	"FAM160A2"	"family with sequence similarity 160 member A2"
"57700"	"FAM160B1"	"family with sequence similarity 160 member B1"
"64760"	"FAM160B2"	"family with sequence similarity 160 member B2"
"26355"	"FAM162A"	"family with sequence similarity 162 member A"
"130074"	"FAM168B"	"family with sequence similarity 168 member B"
"65990"	"FAM173A"	"family with sequence similarity 173 member A"
"134145"	"FAM173B"	"family with sequence similarity 173 member B"
"345757"	"FAM174A"	"family with sequence similarity 174 member A"
"23172"	"FAM175B"	"family with sequence similarity 175 member B"
"283635"	"FAM177A1"	"family with sequence similarity 177 member A1"
"55719"	"SLF2"	"SMC5-SMC6 complex localization factor 2"
"80011"	"FAM192A"	"family with sequence similarity 192 member A"
"139231"	"FAM199X"	"family with sequence similarity 199, X-linked"
"221786"	"FAM200A"	"family with sequence similarity 200 member A"
"63877"	"FAM204A"	"family with sequence similarity 204 member A"
"54942"	"FAM206A"	"family with sequence similarity 206 member A"
"54906"	"FAM208B"	"family with sequence similarity 208 member B"
"9917"	"FAM20B"	"FAM20B, glycosaminoglycan xylosylkinase"
"116151"	"FAM210B"	"family with sequence similarity 210 member B"
"26017"	"FAM32A"	"family with sequence similarity 32 member A"
"54537"	"FAM35A"	"family with sequence similarity 35 member A"
"60343"	"FAM3A"	"family with sequence similarity 3 member A"
"9130"	"FAM50A"	"family with sequence similarity 50 member A"
"26240"	"FAM50B"	"family with sequence similarity 50 member B"
"92002"	"FAM58A"	"family with sequence similarity 58 member A"
"55793"	"MINDY1"	"MINDY lysine 48 deubiquitinase 1"
"84895"	"MIGA2"	"mitoguardin 2"
"51439"	"FAM8A1"	"family with sequence similarity 8 member A1"
"84191"	"FAM96A"	"family with sequence similarity 96 member A"
"51647"	"FAM96B"	"family with sequence similarity 96 member B"
"25940"	"FAM98A"	"family with sequence similarity 98 member A"
"10667"	"FARS2"	"phenylalanyl-tRNA synthetase 2, mitochondrial"
"2193"	"FARSA"	"phenylalanyl-tRNA synthetase alpha subunit"
"10056"	"FARSB"	"phenylalanyl-tRNA synthetase beta subunit"
"10922"	"FASTK"	"Fas activated serine/threonine kinase"
"22868"	"FASTKD2"	"FAST kinase domains 2"
"60493"	"FASTKD5"	"FAST kinase domains 5"
"57666"	"FBRSL1"	"fibrosin like 1"
"79176"	"FBXL15"	"F-box and leucine rich repeat protein 15"
"64839"	"FBXL17"	"F-box and leucine rich repeat protein 17"
"26224"	"FBXL3"	"F-box and leucine rich repeat protein 3"
"26235"	"FBXL4"	"F-box and leucine rich repeat protein 4"
"26234"	"FBXL5"	"F-box and leucine rich repeat protein 5"
"26233"	"FBXL6"	"F-box and leucine rich repeat protein 6"
"80204"	"FBXO11"	"F-box protein 11"
"84893"	"FBXO18"	"F-box protein, helicase, 18"
"26263"	"FBXO22"	"F-box protein 22"
"23219"	"FBXO28"	"F-box protein 28"
"26273"	"FBXO3"	"F-box protein 3"
"81545"	"FBXO38"	"F-box protein 38"
"54455"	"FBXO42"	"F-box protein 42"
"200933"	"FBXO45"	"F-box protein 45"
"26270"	"FBXO6"	"F-box protein 6"
"25793"	"FBXO7"	"F-box protein 7"
"23291"	"FBXW11"	"F-box and WD repeat domain containing 11"
"26190"	"FBXW2"	"F-box and WD repeat domain containing 2"
"6468"	"FBXW4"	"F-box and WD repeat domain containing 4"
"54461"	"FBXW5"	"F-box and WD repeat domain containing 5"
"55294"	"FBXW7"	"F-box and WD repeat domain containing 7"
"51077"	"FCF1"	"FCF1 rRNA-processing protein"
"2222"	"FDFT1"	"farnesyl-diphosphate farnesyltransferase 1"
"2224"	"FDPS"	"farnesyl diphosphate synthase"
"2230"	"FDX1"	"ferredoxin 1"
"2235"	"FECH"	"ferrochelatase"
"56929"	"FEM1C"	"fem-1 homolog C"
"2237"	"FEN1"	"flap structure-specific endonuclease 1"
"9637"	"FEZ2"	"fasciculation and elongation protein zeta 2"
"26127"	"FGFR1OP2"	"FGFR1 oncogene partner 2"
"2271"	"FH"	"fumarate hydratase"
"9158"	"FIBP"	"FGF1 intracellular binding protein"
"11153"	"FICD"	"FIC domain containing"
"81608"	"FIP1L1"	"factor interacting with PAPOLA and CPSF1"
"51024"	"FIS1"	"fission, mitochondrial 1"
"84922"	"FIZ1"	"FLT3 interacting zinc finger 1"
"2287"	"FKBP3"	"FK506 binding protein 3"
"23770"	"FKBP8"	"FK506 binding protein 8"
"63943"	"FKBPL"	"FK506 binding protein like"
"79147"	"FKRP"	"fukutin related protein"
"80308"	"FLAD1"	"flavin adenine dinucleotide synthetase 1"
"201163"	"FLCN"	"folliculin"
"10211"	"FLOT1"	"flotillin 1"
"2319"	"FLOT2"	"flotillin 2"
"22862"	"FNDC3A"	"fibronectin type III domain containing 3A"
"2339"	"FNTA"	"farnesyltransferase, CAAX box, alpha"
"2342"	"FNTB"	"farnesyltransferase, CAAX box, beta"
"123811"	"FOPNL"	"FGFR1OP N-terminal like"
"3607"	"FOXK2"	"forkhead box K2"
"116113"	"FOXP4"	"forkhead box P4"
"55572"	"FOXRED1"	"FAD dependent oxidoreductase domain containing 1"
"2356"	"FPGS"	"folylpolyglutamate synthase"
"8790"	"FPGT"	"fucose-1-phosphate guanylyltransferase"
"118924"	"FRA10AC1"	"FRA10A associated CGG repeat 1"
"79068"	"FTO"	"FTO, alpha-ketoglutarate dependent dioxygenase"
"24140"	"FTSJ1"	"FtsJ RNA methyltransferase homolog 1 (E. coli)"
"29960"	"MRM2"	"mitochondrial rRNA methyltransferase 2"
"117246"	"FTSJ3"	"FtsJ homolog 3"
"55783"	"CMTR2"	"cap methyltransferase 2"
"23070"	"CMTR1"	"cap methyltransferase 1"
"8880"	"FUBP1"	"far upstream element binding protein 1"
"197258"	"FUK"	"fucokinase"
"65991"	"FUNDC2"	"FUN14 domain containing 2"
"2395"	"FXN"	"frataxin"
"84248"	"FYTTD1"	"forty-two-three domain containing 1"
"51343"	"FZR1"	"fizzy and cell division cycle 20 related 1"
"10146"	"G3BP1"	"G3BP stress granule assembly factor 1"
"2548"	"GAA"	"glucosidase alpha, acid"
"11337"	"GABARAP"	"GABA type A receptor-associated protein"
"11345"	"GABARAPL2"	"GABA type A receptor associated protein like 2"
"2553"	"GABPB1"	"GA binding protein transcription factor beta subunit 1"
"90480"	"GADD45GIP1"	"GADD45G interacting protein 1"
"2585"	"GALK2"	"galactokinase 2"
"2588"	"GALNS"	"galactosamine (N-acetyl)-6-sulfatase"
"2589"	"GALNT1"	"polypeptide N-acetylgalactosaminyltransferase 1"
"2590"	"GALNT2"	"polypeptide N-acetylgalactosaminyltransferase 2"
"2592"	"GALT"	"galactose-1-phosphate uridylyltransferase"
"23193"	"GANAB"	"glucosidase II alpha subunit"
"26130"	"GAPVD1"	"GTPase activating protein and VPS9 domains 1"
"2617"	"GARS"	"glycyl-tRNA synthetase"
"2618"	"GART"	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"54815"	"GATAD2A"	"GATA zinc finger domain containing 2A"
"57459"	"GATAD2B"	"GATA zinc finger domain containing 2B"
"283459"	"GATC"	"glutamyl-tRNA amidotransferase subunit C"
"2629"	"GBA"	"glucosylceramidase beta"
"57704"	"GBA2"	"glucosylceramidase beta 2"
"8729"	"GBF1"	"golgi brefeldin A resistant guanine nucleotide exchange factor 1"
"79571"	"GCC1"	"GRIP and coiled-coil domain containing 1"
"2639"	"GCDH"	"glutaryl-CoA dehydrogenase"
"2729"	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"2730"	"GCLM"	"glutamate-cysteine ligase modifier subunit"
"51573"	"GDE1"	"glycerophosphodiester phosphodiesterase 1"
"2665"	"GDI2"	"GDP dissociation inhibitor 2"
"390637"	"GDPGP1"	"GDP-D-glucose phosphorylase 1"
"79760"	"GEMIN7"	"gem nuclear organelle associated protein 7"
"54960"	"GEMIN8"	"gem nuclear organelle associated protein 8"
"51608"	"GET4"	"golgi to ER traffic protein 4"
"2671"	"GFER"	"growth factor, augmenter of liver regeneration"
"85476"	"GFM1"	"G elongation factor mitochondrial 1"
"81577"	"GFOD2"	"glucose-fructose oxidoreductase domain containing 2"
"79017"	"GGCT"	"gamma-glutamylcyclotransferase"
"79893"	"GGNBP2"	"gametogenetin binding protein 2"
"2686"	"GGT7"	"gamma-glutamyltransferase 7"
"84514"	"GHDC"	"GH3 domain containing"
"27069"	"GHITM"	"growth hormone inducible transmembrane protein"
"54994"	"GID8"	"GID complex subunit 8 homolog"
"116254"	"GINM1"	"glycoprotein integral membrane 1"
"10755"	"GIPC1"	"GIPC PDZ domain containing family member 1"
"26035"	"GLCE"	"glucuronic acid epimerase"
"2733"	"GLE1"	"GLE1, RNA export mediator"
"2734"	"GLG1"	"golgi glycoprotein 1"
"2738"	"GLI4"	"GLI family zinc finger 4"
"2739"	"GLO1"	"glyoxalase I"
"51022"	"GLRX2"	"glutaredoxin 2"
"10539"	"GLRX3"	"glutaredoxin 3"
"51218"	"GLRX5"	"glutaredoxin 5"
"55830"	"GLT8D1"	"glycosyltransferase 8 domain containing 1"
"51228"	"GLTP"	"glycolipid transfer protein"
"80772"	"CPTP"	"ceramide-1-phosphate transfer protein"
"84656"	"GLYR1"	"glyoxylate reductase 1 homolog"
"29926"	"GMPPA"	"GDP-mannose pyrophosphorylase A"
"51292"	"GMPR2"	"guanosine monophosphate reductase 2"
"2782"	"GNB1"	"G protein subunit beta 1"
"2783"	"GNB2"	"G protein subunit beta 2"
"10020"	"GNE"	"glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
"29889"	"GNL2"	"G protein nucleolar 2"
"26354"	"GNL3"	"G protein nucleolar 3"
"8443"	"GNPAT"	"glyceronephosphate O-acyltransferase"
"10007"	"GNPDA1"	"glucosamine-6-phosphate deaminase 1"
"64841"	"GNPNAT1"	"glucosamine-phosphate N-acetyltransferase 1"
"84572"	"GNPTG"	"N-acetylglucosamine-1-phosphate transferase gamma subunit"
"2799"	"GNS"	"glucosamine (N-acetyl)-6-sulfatase"
"2800"	"GOLGA1"	"golgin A1"
"2801"	"GOLGA2"	"golgin A2"
"2802"	"GOLGA3"	"golgin A3"
"9950"	"GOLGA5"	"golgin A5"
"51125"	"GOLGA7"	"golgin A7"
"2804"	"GOLGB1"	"golgin B1"
"64083"	"GOLPH3"	"golgi phosphoprotein 3"
"51026"	"GOLT1B"	"golgi transport 1B"
"57120"	"GOPC"	"golgi associated PDZ and coiled-coil motif containing"
"64689"	"GORASP1"	"golgi reassembly stacking protein 1"
"26003"	"GORASP2"	"golgi reassembly stacking protein 2"
"9527"	"GOSR1"	"golgi SNAP receptor complex member 1"
"9570"	"GOSR2"	"golgi SNAP receptor complex member 2"
"8733"	"GPAA1"	"glycosylphosphatidylinositol anchor attachment 1"
"7918"	"GPANK1"	"G-patch domain and ankyrin repeats 1"
"54865"	"GPATCH4"	"G-patch domain containing 4"
"65056"	"GPBP1"	"GC-rich promoter binding protein 1"
"60313"	"GPBP1L1"	"GC-rich promoter binding protein 1 like 1"
"10243"	"GPHN"	"gephyrin"
"2821"	"GPI"	"glucose-6-phosphate isomerase"
"27238"	"GPKOW"	"G-patch domain and KOW motifs"
"11321"	"GPN1"	"GPN-loop GTPase 1"
"54707"	"GPN2"	"GPN-loop GTPase 2"
"51184"	"GPN3"	"GPN-loop GTPase 3"
"57720"	"GPR107"	"G protein-coupled receptor 107"
"56927"	"GPR108"	"G protein-coupled receptor 108"
"2873"	"GPS1"	"G protein pathway suppressor 1"
"2874"	"GPS2"	"G protein pathway suppressor 2"
"2879"	"GPX4"	"glutathione peroxidase 4"
"23151"	"GRAMD4"	"GRAM domain containing 4"
"9380"	"GRHPR"	"glyoxylate and hydroxypyruvate reductase"
"2907"	"GRINA"	"glutamate ionotropic receptor NMDA type subunit associated protein 1"
"56850"	"GRIPAP1"	"GRIP1 associated protein 1"
"80273"	"GRPEL1"	"GrpE like 1, mitochondrial"
"2926"	"GRSF1"	"G-rich RNA sequence binding factor 1"
"83743"	"GRWD1"	"glutamate rich WD repeat containing 1"
"2931"	"GSK3A"	"glycogen synthase kinase 3 alpha"
"2932"	"GSK3B"	"glycogen synthase kinase 3 beta"
"2935"	"GSPT1"	"G1 to S phase transition 1"
"23708"	"GSPT2"	"G1 to S phase transition 2"
"2936"	"GSR"	"glutathione-disulfide reductase"
"2937"	"GSS"	"glutathione synthetase"
"373156"	"GSTK1"	"glutathione S-transferase kappa 1"
"2948"	"GSTM4"	"glutathione S-transferase mu 4"
"9446"	"GSTO1"	"glutathione S-transferase omega 1"
"84892"	"POMGNT2"	"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"
"2957"	"GTF2A1"	"general transcription factor IIA subunit 1"
"2959"	"GTF2B"	"general transcription factor IIB"
"2962"	"GTF2F1"	"general transcription factor IIF subunit 1"
"2963"	"GTF2F2"	"general transcription factor IIF subunit 2"
"2965"	"GTF2H1"	"general transcription factor IIH subunit 1"
"2968"	"GTF2H4"	"general transcription factor IIH subunit 4"
"404672"	"GTF2H5"	"general transcription factor IIH subunit 5"
"2969"	"GTF2I"	"general transcription factor IIi"
"2971"	"GTF3A"	"general transcription factor IIIA"
"2975"	"GTF3C1"	"general transcription factor IIIC subunit 1"
"2976"	"GTF3C2"	"general transcription factor IIIC subunit 2"
"9330"	"GTF3C3"	"general transcription factor IIIC subunit 3"
"9328"	"GTF3C5"	"general transcription factor IIIC subunit 5"
"112495"	"GTF3C6"	"general transcription factor IIIC subunit 6"
"85865"	"GTPBP10"	"GTP binding protein 10"
"23560"	"GTPBP4"	"GTP binding protein 4"
"26164"	"MTG2"	"mitochondrial ribosome associated GTPase 2"
"29083"	"GTPBP8"	"GTP binding protein 8 (putative)"
"2987"	"GUK1"	"guanylate kinase 1"
"64412"	"GZF1"	"GDNF inducible zinc finger protein 1"
"8971"	"H1FX"	"H1 histone family member X"
"94239"	"H2AFV"	"H2A histone family member V"
"3014"	"H2AFX"	"H2A histone family member X"
"9555"	"H2AFY"	"H2A histone family member Y"
"3015"	"H2AFZ"	"H2A histone family member Z"
"3033"	"HADH"	"hydroxyacyl-CoA dehydrogenase"
"3030"	"HADHA"	"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
"3029"	"HAGH"	"hydroxyacylglutathione hydrolase"
"3035"	"HARS"	"histidyl-tRNA synthetase"
"23438"	"HARS2"	"histidyl-tRNA synthetase 2, mitochondrial"
"8520"	"HAT1"	"histone acetyltransferase 1"
"79441"	"HAUS3"	"HAUS augmin like complex subunit 3"
"54930"	"HAUS4"	"HAUS augmin like complex subunit 4"
"55559"	"HAUS7"	"HAUS augmin like complex subunit 7"
"10456"	"HAX1"	"HCLS1 associated protein X-1"
"26959"	"HBP1"	"HMG-box transcription factor 1"
"10767"	"HBS1L"	"HBS1 like translational GTPase"
"3052"	"HCCS"	"holocytochrome c synthase"
"3054"	"HCFC1"	"host cell factor C1"
"3066"	"HDAC2"	"histone deacetylase 2"
"8841"	"HDAC3"	"histone deacetylase 3"
"10013"	"HDAC6"	"histone deacetylase 6"
"55869"	"HDAC8"	"histone deacetylase 8"
"374659"	"HDDC3"	"HD domain containing 3"
"3068"	"HDGF"	"heparin binding growth factor"
"81932"	"HDHD3"	"haloacid dehalogenase like hydrolase domain containing 3"
"3069"	"HDLBP"	"high density lipoprotein binding protein"
"54919"	"DNAAF5"	"dynein axonemal assembly factor 5"
"25938"	"HEATR5A"	"HEAT repeat containing 5A"
"50865"	"HEBP1"	"heme binding protein 1"
"79654"	"HECTD3"	"HECT domain E3 ubiquitin protein ligase 3"
"9931"	"HELZ"	"helicase with zinc finger"
"51409"	"HEMK1"	"HemK methyltransferase family member 1"
"26091"	"HERC4"	"HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"9709"	"HERPUD1"	"homocysteine inducible ER protein with ubiquitin like domain 1"
"64224"	"HERPUD2"	"HERPUD family member 2"
"3073"	"HEXA"	"hexosaminidase subunit alpha"
"284004"	"HEXDC"	"hexosaminidase D"
"10614"	"HEXIM1"	"hexamethylene bisacetamide inducible 1"
"9146"	"HGS"	"hepatocyte growth factor-regulated tyrosine kinase substrate"
"64645"	"MFSD14A"	"major facilitator superfamily domain containing 14A"
"84641"	"MFSD14B"	"major facilitator superfamily domain containing 14B"
"11112"	"HIBADH"	"3-hydroxyisobutyrate dehydrogenase"
"25994"	"HIGD1A"	"HIG1 hypoxia inducible domain family member 1A"
"192286"	"HIGD2A"	"HIG1 hypoxia inducible domain family member 2A"
"25988"	"HINFP"	"histone H4 transcription factor"
"3094"	"HINT1"	"histidine triad nucleotide binding protein 1"
"84681"	"HINT2"	"histidine triad nucleotide binding protein 2"
"8347"	"HIST1H2BC"	"histone cluster 1 H2B family member c"
"3096"	"HIVEP1"	"human immunodeficiency virus type I enhancer binding protein 1"
"3145"	"HMBS"	"hydroxymethylbilane synthase"
"10363"	"HMG20A"	"high mobility group 20A"
"10362"	"HMG20B"	"high mobility group 20B"
"3146"	"HMGB1"	"high mobility group box 1"
"9324"	"HMGN3"	"high mobility group nucleosomal binding domain 3"
"22993"	"HMGXB3"	"HMG-box containing 3"
"10042"	"HMGXB4"	"HMG-box containing 4"
"3163"	"HMOX2"	"heme oxygenase 2"
"57585"	"CRAMP1"	"cramped chromatin regulator homolog 1"
"10949"	"HNRNPA0"	"heterogeneous nuclear ribonucleoprotein A0"
"3181"	"HNRNPA2B1"	"heterogeneous nuclear ribonucleoprotein A2/B1"
"3182"	"HNRNPAB"	"heterogeneous nuclear ribonucleoprotein A/B"
"3183"	"HNRNPC"	"heterogeneous nuclear ribonucleoprotein C (C1/C2)"
"3184"	"HNRNPD"	"heterogeneous nuclear ribonucleoprotein D"
"3185"	"HNRNPF"	"heterogeneous nuclear ribonucleoprotein F"
"3187"	"HNRNPH1"	"heterogeneous nuclear ribonucleoprotein H1"
"3188"	"HNRNPH2"	"heterogeneous nuclear ribonucleoprotein H2"
"3190"	"HNRNPK"	"heterogeneous nuclear ribonucleoprotein K"
"3191"	"HNRNPL"	"heterogeneous nuclear ribonucleoprotein L"
"4670"	"HNRNPM"	"heterogeneous nuclear ribonucleoprotein M"
"10236"	"HNRNPR"	"heterogeneous nuclear ribonucleoprotein R"
"3192"	"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U"
"11100"	"HNRNPUL1"	"heterogeneous nuclear ribonucleoprotein U like 1"
"221092"	"HNRNPUL2"	"heterogeneous nuclear ribonucleoprotein U like 2"
"9987"	"HNRNPDL"	"heterogeneous nuclear ribonucleoprotein D like"
"92906"	"HNRNPLL"	"heterogeneous nuclear ribonucleoprotein L like"
"50809"	"HP1BP3"	"heterochromatin protein 1 binding protein 3"
"3257"	"HPS1"	"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"
"79803"	"HPS6"	"HPS6, biogenesis of lysosomal organelles complex 2 subunit 3"
"64342"	"HS1BP3"	"HCLS1 binding protein 3"
"9653"	"HS2ST1"	"heparan sulfate 2-O-sulfotransferase 1"
"9394"	"HS6ST1"	"heparan sulfate 6-O-sulfotransferase 1"
"3281"	"HSBP1"	"heat shock factor binding protein 1"
"150274"	"HSCB"	"HscB mitochondrial iron-sulfur cluster cochaperone"
"3028"	"HSD17B10"	"hydroxysteroid 17-beta dehydrogenase 10"
"51144"	"HSD17B12"	"hydroxysteroid 17-beta dehydrogenase 12"
"3295"	"HSD17B4"	"hydroxysteroid 17-beta dehydrogenase 4"
"51182"	"HSPA14"	"heat shock protein family A (Hsp70) member 14"
"3308"	"HSPA4"	"heat shock protein family A (Hsp70) member 4"
"3309"	"HSPA5"	"heat shock protein family A (Hsp70) member 5"
"3312"	"HSPA8"	"heat shock protein family A (Hsp70) member 8"
"3313"	"HSPA9"	"heat shock protein family A (Hsp70) member 9"
"23640"	"HSPBP1"	"HSPA (Hsp70) binding protein 1"
"100529241"	"HSPE1-MOB4"	"HSPE1-MOB4 readthrough"
"10553"	"HTATIP2"	"HIV-1 Tat interactive protein 2"
"27429"	"HTRA2"	"HtrA serine peptidase 2"
"3064"	"HTT"	"huntingtin"
"3364"	"HUS1"	"HUS1 checkpoint clamp component"
"10075"	"HUWE1"	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
"10525"	"HYOU1"	"hypoxia up-regulated 1"
"25764"	"HYPK"	"huntingtin interacting protein K"
"285148"	"IAH1"	"isoamyl acetate-hydrolyzing esterase 1 homolog"
"3376"	"IARS"	"isoleucyl-tRNA synthetase"
"55699"	"IARS2"	"isoleucyl-tRNA synthetase 2, mitochondrial"
"200205"	"IBA57"	"IBA57 homolog, iron-sulfur cluster assembly"
"25998"	"IBTK"	"inhibitor of Bruton tyrosine kinase"
"22858"	"ICK"	"intestinal cell kinase"
"23463"	"ICMT"	"isoprenylcysteine carboxyl methyltransferase"
"3396"	"MRPL58"	"mitochondrial ribosomal protein L58"
"3416"	"IDE"	"insulin degrading enzyme"
"3419"	"IDH3A"	"isocitrate dehydrogenase 3 (NAD(+)) alpha"
"3420"	"IDH3B"	"isocitrate dehydrogenase 3 (NAD(+)) beta"
"3421"	"IDH3G"	"isocitrate dehydrogenase 3 (NAD(+)) gamma"
"3422"	"IDI1"	"isopentenyl-diphosphate delta isomerase 1"
"51124"	"IER3IP1"	"immediate early response 3 interacting protein 1"
"3454"	"IFNAR1"	"interferon alpha and beta receptor subunit 1"
"3459"	"IFNGR1"	"interferon gamma receptor 1"
"3475"	"IFRD1"	"interferon related developmental regulator 1"
"11020"	"IFT27"	"intraflagellar transport 27"
"64376"	"IKZF5"	"IKAROS family zinc finger 5"
"3597"	"IL13RA1"	"interleukin 13 receptor subunit alpha 1"
"3572"	"IL6ST"	"interleukin 6 signal transducer"
"3608"	"ILF2"	"interleukin enhancer binding factor 2"
"80895"	"ILKAP"	"ILK associated serine/threonine phosphatase"
"10994"	"ILVBL"	"ilvB acetolactate synthase like"
"10989"	"IMMT"	"inner membrane mitochondrial protein"
"55272"	"IMP3"	"IMP3, U3 small nucleolar ribonucleoprotein"
"92856"	"IMP4"	"IMP4 homolog, U3 small nucleolar ribonucleoprotein"
"54928"	"IMPAD1"	"inositol monophosphatase domain containing 1"
"64423"	"INF2"	"inverted formin, FH2 and WH2 domain containing"
"3621"	"ING1"	"inhibitor of growth family member 1"
